FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,PUESTO,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,ESTADO,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2
09/05/1959,MASCULINO,CASADO,SECUNDARIA,AGENTETRANSITO,PROPIA,0,10000,COLIMA,28400,45,3,28,6,SINODATOS,945.79,424.14,SI,POTENCIALES,V1F1
04/11/1965,MASCULINO,CASADO,LICENCIATURA,EMPLEADOGOB6825,PADRES,0,18000,COLIMA,28000,25,0,29,0,NO,2555.51,864.3,SI,POTENCIALES,V2F1
06/09/1978,FEMENINO,SOLTERO,BACHILLERATO,EMPLEADO EN GENERAL,PROPIA,0,8000,COLIMA,28000,15,0,10,0,SINODATOS,545.64,316.8,NO,POTENCIALES,V2F2
15/03/1987,MASCULINO,UNIONLIBRE,LICENCIATURA,CHOFER,PROPIA,0,8000,COLIMA,28000,0,9,2,0,NO,660,0,NO,POTENCIALES,V2F2
16/10/1979,FEMENINO,CASADO,LICENCIATURA,TRABAJADORSOCIAL,PADRES,0,10000,COLIMA,28000,39,0,13,0,NO,2847.66,594.12,SI,PERDIDOS,V3F1
02/07/1952,FEMENINO,VIUDO,PRIMARIA,PENSIONADO,PROPIA,0,12000,COLIMA,28000,23,0,7,0,SINODATOS,1756.3,90.72,NO,ATENCION MEDIA,V1F1
09/03/1971,MASCULINO,SOLTERO,BACHILLERATO,PROPIETARIO1,PROPIA,0,15000,COLIMA,28550,15,0,15,3,SINODATOS,2182.32,0,NO,PERDIDOS,V0F0
28/05/1988,MASCULINO,SOLTERO,BACHILLERATO,ESTILISTA,PADRES,0,8000,COLIMA,28000,8,0,14,0,NO,1152.06,10,SI,POTENCIALES,V2F1
14/05/1985,MASCULINO,SOLTERO,BACHILLERATO,AUX DE SERVICIOS,RENTADA,0,6000,COLIMA,28000,4,0,7,0,NO,1400,322.68,SI,LEALTAD,V3F4
20/01/1977,MASCULINO,CASADO,BACHILLERATO,AGENTETRANSITO,PROPIA,4,21000,COLIMA,28860,13,0,11,6,SINODATOS,1091.29,634.4,NO,POTENCIALES,V2F1
28/02/1972,FEMENINO,VIUDO,BACHILLERATO,PROPIETARIOTDA,PROPIA,0,10000,COLIMA,28000,18,0,4,0,SINODATOS,2883.3,1004,SI,POTENCIALES,V1F1
30/05/1988,FEMENINO,SOLTERO,BACHILLERATO,ASISTDENTAL,PROPIA,0,8000,COLIMA,28000,7,5,11,0,SINODATOS,1612.8,608.08,SI,POTENCIALES,V1F1
27/10/1980,FEMENINO,SOLTERO,MAESTRIA,COORDINADOR,PROPIA,0,26000,COLIMA,28000,4,2,12,0,NO,1258.09,886.5,NO,POTENCIALES,V2F2
22/04/1964,FEMENINO,DIVORCIADO,SECUNDARIA,JEFEMANTTO,PROPIA,0,3600,COLIMA,28989,2,0,15,0,NO,1080,300,SI,POTENCIALES,V1F1
13/10/1992,FEMENINO,SOLTERO,SECUNDARIA,ANALISTA,PROPIA,1,5625,COLIMA,28989,5,0,2,0,SINODATOS,1687.5,500,SI,POTENCIALES,V2F1
12/01/1992,FEMENINO,SOLTERO,LICENCIATURA,ADMIVOGRAL,FAMILIARES,0,10000,COLIMA,28000,2,8,3,0,NO,1591.47,0,NO,ATENCION ALTA,V2F2
23/08/1971,MASCULINO,CASADO,BACHILLERATO,DUENOPEQUENEG,RENTADA,0,30000,COLIMA,28000,0,8,20,0,SINODATOS,2437.27,0,NO,PERDIDOS,V0F0
14/09/1958,MASCULINO,CASADO,PRIMARIA,EMPLEADO EN GENERAL,PROPIA,0,10000,COLIMA,28098,35,0,20,0,SINODATOS,1091.29,945.25,SI,POTENCIALES,V3F2
03/08/1987,FEMENINO,CASADO,SECUNDARIA,AMACASA,PAGANDOLA,0,0,COLIMA,28080,4,0,2,0,SINODATOS,1430,200,SI,POTENCIALES,V2F3
20/04/1997,MASCULINO,SOLTERO,SECUNDARIA,MANTENIMIENTO,PAGANDOLA,0,4750,COLIMA,28089,3,0,0,2,NO,500,0,SI,PERDIDOS,V2F1
24/05/1961,FEMENINO,CASADO,SECUNDARIA,ABARROTERO,FAMILIARES,0,8000,COLIMA,28550,30,0,35,0,SINODATOS,1450.54,0,SI,POTENCIALES,V2F1
20/02/1972,FEMENINO,CASADO,PRIMARIA,EMPLEADO EN GENERAL,PAGANDOLA,0,4000,COLIMA,28077,18,0,2,0,SINODATOS,500,0,NO,POTENCIALES,V3F1
20/02/1972,FEMENINO,CASADO,PRIMARIA,EMPDOMESTICA,PAGANDOLA,5,6200,COLIMA,28077,18,8,4,8,SINODATOS,731.29,198,NO,POTENCIALES,V3F1
25/07/1961,FEMENINO,CASADO,SECUNDARIA,COMERCIANTE,PROPIA,0,4000,COLIMA,28930,9,3,0,6,SINODATOS,945.79,198,SI,POTENCIALES,V3F2
24/04/1997,MASCULINO,SOLTERO,BACHILLERATO,EMPLEADO EN GENERAL,PAGANDOLA,0,7000,COLIMA,28048,10,0,5,0,NO,784.41,0,NO,POTENCIALES,V3F2
17/10/1970,FEMENINO,CASADO,BACHILLERATO,EMPLEADO EN GENERAL,PAGANDOLA,0,8000,COLIMA,28048,12,0,15,0,SINODATOS,941.29,0,NO,LEALTAD,V3F3
01/10/1985,FEMENINO,SEPARADO,BACHILLERATO,SUPERVISOR,PADRES,3,6000,COLIMA,28500,4,3,2,8,NO,1680,152,SI,PERDIDOS,V1F1
10/06/1980,MASCULINO,UNIONLIBRE,BACHILLERATO,EMPLEADO EN GENERAL,FAMILIARES,2,8800,COLIMA,28984,3,0,15,0,SINODATOS,1018.54,0,SI,POTENCIALES,V3F2
27/09/1981,MASCULINO,CASADO,SECUNDARIA,VIGILANTE,RENTADA,2,10000,COLIMA,28000,0,8,1,8,SINODATOS,500,0,NO,PERDIDOS,V1F1
15/01/1974,FEMENINO,CASADO,BACHILLERATO,ASISTENTE,PROPIA,0,8000,COLIMA,28140,10,0,20,0,SINODATOS,1091.29,385.32,SI,POTENCIALES,V3F2
09/08/1993,FEMENINO,CASADO,BACHILLERATO,COCINERO,PROPIA,0,3000,COLIMA,28060,5,6,3,0,SINODATOS,750,0,SI,ATENCION ALTA,V3F2
23/03/1980,FEMENINO,DIVORCIADO,BACHILLERATO,INTENDENTE,FAMILIARES,0,3600,COLIMA,28984,16,0,0,8,SINODATOS,1080,0,SI,POTENCIALES,V3F2
13/07/1960,FEMENINO,SOLTERO,BACHILLERATO,EMPLEADO EN GENERAL,FAMILIARES,0,5000,COLIMA,28979,3,0,6,0,NO,1018.54,23.04,NO,POTENCIALES,V1F1
13/08/1976,FEMENINO,CASADO,SECUNDARIA,ASISTEDUCATIVO,PROPIA,0,3200,COLIMA,28400,13,2,2,0,SINODATOS,960,275.94,SI,PERDIDOS,V1F1
20/11/1966,FEMENINO,SOLTERO,BACHILLERATO,PROMOTOR,RENTADA,0,5900,COLIMA,28000,1,0,4,0,SINODATOS,1248,317.8,SI,POTENCIALES,V2F2
17/09/1957,MASCULINO,CASADO,LICENCIATURA,ENCAREA,PROPIA,0,20000,COLIMA,28000,26,0,15,0,NO,2289.3,808,NO,PERDIDOS,V0F0
27/04/1944,MASCULINO,CASADO,LICENCIATURA,JUBILADO,PROPIA,0,20000,COLIMA,28979,3,0,3,7,SINODATOS,2347.2,230,NO,POTENCIALES,V1F1
11/07/1943,FEMENINO,SOLTERO,PRIMARIA,EMPDOMESTICA,PROPIA,0,4000,COLIMA,28980,65,0,14,0,NO,1018.54,0,SI,POTENCIALES,V1F1
16/06/1948,FEMENINO,VIUDO,BACHILLERATO,JUBILADO,PROPIA,0,13000,COLIMA,28000,10,11,1,11,SINODATOS,3900,972.1,SI,LEALTAD,V2F4
12/03/1986,FEMENINO,CASADO,BACHILLERATO,EMPLEADO EN GENERAL,FAMILIARES,1,3500,COLIMA,28000,2,0,6,0,SINODATOS,980,126.72,SI,POTENCIALES,V2F1
26/04/1981,MASCULINO,CASADO,BACHILLERATO,COSECHADOR,PAGANDOLA,0,8000,COLIMA,28984,13,0,0,8,SINODATOS,1328.27,297,SI,POTENCIALES,V1F1
